graph_id,num_nodes,num_edges,density,avg_degree,min_degree,max_degree,avg_clustering,avg_degree_centrality,max_degree_centrality,diameter,avg_shortest_path,Combinatorial features 
ranked_0_enzyme_mimicB1-501EN11e,342,1746,0.02994289242167,10.2105263157895,2,19,0.539622440170346,0.02994289242167,0.0557184750733138,10,4.77508531837904,
ranked_0_enzyme_mimicB1-501EN110e,326,1675,0.0316186880604058,10.2760736196319,4,18,0.537887080840887,0.0316186880604058,0.0553846153846154,10,4.67152430391694,
ranked_0_enzyme_mimicB1-501EN291e,329,1621,0.030042997998369,9.85410334346505,2,17,0.547695000233888,0.030042997998369,0.0518292682926829,12,4.95129364667507,
ranked_0_enzyme_mimicB1-501EN142a,330,1702,0.0313530441190016,10.3151515151515,3,19,0.534062896402469,0.0313530441190016,0.0577507598784195,10,4.80598692088054,
ranked_0_enzyme_mimicB1-501EN260e,309,1546,0.0324885470516538,10.0064724919094,2,20,0.540495778008177,0.0324885470516538,0.0649350649350649,12,4.81370571176396,
ranked_0_enzyme_mimicB1-501EN286e,327,1554,0.0291551753250408,9.5045871559633,4,18,0.56951720103366,0.0291551753250408,0.0552147239263804,17,6.02527157088985,
ranked_0_enzyme_mimicB1-501EN195a,328,1629,0.0303759230252853,9.93292682926829,2,16,0.536601499787475,0.0303759230252853,0.0489296636085627,12,4.87254792272693,
ranked_0_enzyme_mimicB1-501EN32a,338,1764,0.0309729074851193,10.4378698224852,4,19,0.528118525389625,0.0309729074851193,0.056379821958457,11,4.81518093866873,
ranked_0_enzyme_mimicB1-501EN123d,323,1609,0.0309405226621541,9.96284829721362,2,17,0.545473256887389,0.0309405226621541,0.0527950310559006,11,5.04038228563737,
ranked_0_enzyme_mimicB1-501EN313a,334,1663,0.0299041556526586,9.95808383233533,2,20,0.544332774749109,0.0299041556526586,0.0600600600600601,11,4.98180216144288,
ranked_0_enzyme_mimicB1-501EN370c,316,1392,0.0279686558167571,8.81012658227848,4,19,0.606305961459388,0.0279686558167571,0.0603174603174603,21,7.0291742013261,
ranked_0_enzyme_mimicB1-501EN306c,337,1703,0.0300798360887382,10.106824925816,4,18,0.544484483631804,0.0300798360887382,0.0535714285714286,10,4.81079553483114,
ranked_0_enzyme_mimicB1-501EN290b,339,1653,0.0288526993768655,9.75221238938053,2,16,0.53137064508746,0.0288526993768655,0.0473372781065089,12,4.9794383061912,
ranked_0_enzyme_mimicB1-501EN264b,323,1559,0.0299790396707882,9.65325077399381,4,19,0.54786555911986,0.0299790396707882,0.0590062111801242,10,4.91331269349845,
ranked_0_enzyme_mimicB1-501EN266d,341,1375,0.023719165085389,8.06451612903226,2,15,0.572092814321553,0.023719165085389,0.0441176470588235,18,6.95547697084699,
ranked_0_enzyme_mimicB1-501EN64c,338,1616,0.0283742735237828,9.56213017751479,2,19,0.548701099982083,0.0283742735237828,0.056379821958457,12,5.13544501606588,
ranked_0_enzyme_mimicB1-501EN20c,334,1636,0.0294186401970833,9.79640718562874,4,17,0.544749595048997,0.0294186401970833,0.0510510510510511,12,4.94947042851234,
ranked_0_enzyme_mimicB1-501EN362b,337,1695,0.0299385332768122,10.0593471810089,2,19,0.536672395887056,0.0299385332768122,0.056547619047619,14,4.99913452027695,
ranked_0_enzyme_mimicB1-501EN364c,329,1645,0.0304878048780488,10,2,18,0.551499201079033,0.0304878048780488,0.0548780487804878,14,5.17506857439395,
ranked_0_enzyme_mimicB1-501EN16b,335,1627,0.0290821342389847,9.7134328358209,4,16,0.544824702660524,0.0290821342389847,0.0479041916167665,11,5.3380284207704,
ranked_0_enzyme_mimicB1-501EN403e,337,1665,0.0294086477320899,9.8813056379822,3,16,0.540454492754196,0.0294086477320899,0.0476190476190476,11,4.94978451321181,
ranked_0_enzyme_mimicB1-501EN354d,335,1479,0.0264366788810439,8.82985074626866,4,16,0.570440753276574,0.0264366788810439,0.0479041916167665,15,5.94558941817857,
ranked_0_enzyme_mimicB1-501EN249c,331,1471,0.0269339924929049,8.88821752265861,2,16,0.560517579097639,0.0269339924929049,0.0484848484848485,22,6.80411974732216,
ranked_0_enzyme_mimicB1-501EN116e,335,1470,0.0262758065957637,8.77611940298507,2,15,0.579280139429392,0.0262758065957637,0.0449101796407186,16,6.96042541782107,
ranked_0_enzyme_mimicB1-501EN18e,345,1738,0.029288843950118,10.0753623188406,3,18,0.546910893880203,0.029288843950118,0.0523255813953488,11,5.03387259858443,
ranked_0_enzyme_mimicB1-501EN220a,329,1601,0.0296723255986359,9.73252279635258,2,18,0.547737646861551,0.0296723255986359,0.0548780487804878,15,5.12730743568834,
ranked_0_enzyme_mimicB1-501EN136c,322,1640,0.0317331320988371,10.1863354037267,2,18,0.538998416839118,0.0317331320988371,0.0560747663551402,10,4.73961417155241,
ranked_0_enzyme_mimicB1-501EN134d,323,1468,0.0282291406265023,9.08978328173375,2,17,0.568656919276114,0.0282291406265023,0.0527950310559006,16,5.79139665019326,
ranked_0_enzyme_mimicB1-501EN328b,333,1616,0.0292340533304389,9.70570570570571,2,16,0.545248753582087,0.0292340533304389,0.0481927710843374,11,5.07067911284779,
ranked_0_enzyme_mimicB1-501EN341e,332,1676,0.0305026753539839,10.0963855421687,2,17,0.536208129515181,0.0305026753539839,0.0513595166163142,11,4.92059476577003,
ranked_0_enzyme_mimicB1-501EN315e,328,1620,0.0302081002461401,9.87804878048781,2,20,0.534227480879721,0.0302081002461401,0.0611620795107034,10,4.80497128365779,
ranked_0_enzyme_mimicB1-501EN162d,335,1447,0.025864688533381,8.63880597014925,2,18,0.599993107078268,0.025864688533381,0.0538922155688623,33,9.81631959960676,
ranked_0_enzyme_mimicB1-501EN327b,340,1534,0.0266180808606628,9.02352941176471,3,17,0.555524708375054,0.0266180808606628,0.0501474926253687,22,6.48499045635954,
ranked_0_enzyme_mimicB1-501EN343e,338,1689,0.0296560321668744,9.99408284023669,2,18,0.558536750309288,0.0296560321668744,0.0534124629080119,12,5.07771320211402,
ranked_0_enzyme_mimicB1-501EN229d,326,1387,0.0261821613968853,8.50920245398773,2,16,0.58710776272126,0.0261821613968853,0.0492307692307692,18,6.8376403964134,
ranked_0_enzyme_mimicB1-501EN90c,322,1616,0.0312687447998297,10.0372670807453,2,18,0.538193564645885,0.0312687447998297,0.0560747663551402,11,4.83914784930632,
ranked_0_enzyme_mimicB1-501EN335c,333,1546,0.0279677267629075,9.28528528528529,4,19,0.577150419307281,0.0279677267629075,0.0572289156626506,15,6.1685842468975,
ranked_0_enzyme_mimicB1-501EN89c,341,1493,0.0257547007072624,8.75659824046921,2,15,0.580253633626067,0.0257547007072624,0.0441176470588235,13,6.37446955321718,
ranked_0_enzyme_mimicB1-501EN332a,322,1640,0.0317331320988371,10.1863354037267,2,18,0.542921647223803,0.0317331320988371,0.0560747663551402,13,4.95721832007895,
ranked_0_enzyme_mimicB1-501EN108d,325,1694,0.0321747388414055,10.4246153846154,4,18,0.537964224814903,0.0321747388414055,0.0555555555555556,10,4.74488129154796,
ranked_0_enzyme_mimicB1-501EN310b,335,1531,0.0273661631959961,9.14029850746269,2,16,0.567066515573978,0.0273661631959961,0.0479041916167665,14,5.91005451783001,
ranked_0_enzyme_mimicB1-501EN29b,329,1522,0.0282081696196901,9.25227963525836,3,18,0.555764281112931,0.0282081696196901,0.0548780487804878,14,5.49592260360294,
ranked_0_enzyme_mimicB1-501EN389c,326,1535,0.0289759320434167,9.41717791411043,2,17,0.56878599667304,0.0289759320434167,0.0523076923076923,14,5.87288343558282,
ranked_0_enzyme_mimicB1-501EN299c,332,1664,0.0302842791103993,10.0240963855422,2,17,0.546900237824228,0.0302842791103993,0.0513595166163142,12,5.06329851126561,
ranked_0_enzyme_mimicB1-501EN229e,326,1586,0.0299386503067485,9.73006134969325,2,16,0.544576631616509,0.0299386503067485,0.0492307692307692,12,4.95848985370458,
ranked_0_enzyme_mimicB1-501EN189a,331,1551,0.0283987915407855,9.37160120845921,2,15,0.55205197622116,0.0283987915407855,0.0454545454545455,14,5.69140346058775,
ranked_0_enzyme_mimicB1-501EN23a,338,1587,0.0278650817340614,9.3905325443787,4,17,0.539170329032842,0.0278650817340614,0.0504451038575668,13,5.34704054220146,
ranked_0_enzyme_mimicB1-501EN331d,333,1458,0.0263757733637252,8.75675675675676,2,16,0.565217098550432,0.0263757733637252,0.0481927710843374,14,5.77754260284381,
ranked_0_enzyme_mimicB1-501EN186b,341,1472,0.0253924443677764,8.63343108504399,2,16,0.578654939065496,0.0253924443677764,0.0470588235294118,20,7.81913058478523,
ranked_0_enzyme_mimicB1-501EN177a,329,1493,0.0276706946400771,9.07598784194529,2,16,0.566120404418276,0.0276706946400771,0.0487804878048781,19,6.35493735636445,
ranked_0_enzyme_mimicB1-501EN253b,342,1770,0.0303544785717961,10.3508771929825,2,19,0.538985043767511,0.030354478571796,0.0557184750733138,11,5.00620809109774,
ranked_0_enzyme_mimicB1-501EN387d,337,1629,0.0287727850784231,9.66765578635015,2,19,0.55270709417341,0.0287727850784231,0.056547619047619,13,5.31008902077151,
ranked_0_enzyme_mimicB1-501EN274a,318,1590,0.0315457413249211,10,2,17,0.549072656286862,0.0315457413249211,0.0536277602523659,12,4.87296391087832,
ranked_0_enzyme_mimicB1-501EN30e,320,1604,0.0314263322884013,10.025,2,19,0.548713060594591,0.0314263322884013,0.0595611285266458,13,5.02415752351097,
ranked_0_enzyme_mimicB1-501EN76d,330,1428,0.0263056092843327,8.65454545454545,2,15,0.590369277187459,0.0263056092843327,0.0455927051671732,23,6.98272082527402,
ranked_0_enzyme_mimicB1-501EN265a,326,1597,0.030146295422369,9.79754601226994,2,18,0.542182017529365,0.030146295422369,0.0553846153846154,12,4.92819254365267,
ranked_0_enzyme_mimicB1-501EN229c,327,1624,0.0304684715108535,9.93272171253823,2,19,0.540878222566523,0.0304684715108535,0.0582822085889571,11,4.8706966098197,
ranked_0_enzyme_mimicB1-501EN266b,341,1743,0.0300672761773331,10.2228739002933,4,17,0.525936211355393,0.0300672761773331,0.05,10,4.73748490598585,
ranked_0_enzyme_mimicB1-501EN12d,321,1595,0.0310552959501558,9.93769470404985,4,16,0.529744848436437,0.0310552959501558,0.05,11,5.07091121495327,
ranked_0_enzyme_mimicB1-501EN99e,330,1665,0.0306714562033711,10.0909090909091,2,17,0.532862354025455,0.0306714562033711,0.0516717325227964,10,4.84131896472322,
ranked_0_enzyme_mimicB1-501EN63d,329,1616,0.0299503298984358,9.82370820668693,2,17,0.538106169909317,0.0299503298984358,0.0518292682926829,14,5.02574319816147,
ranked_0_enzyme_mimicB1-501EN294b,323,1424,0.0273830355941003,8.81733746130031,4,15,0.579439841204546,0.0273830355941003,0.046583850931677,15,6.80037690133262,
ranked_0_enzyme_mimicB1-501EN161b,333,1633,0.0295415897825536,9.80780780780781,4,19,0.539611189843388,0.0295415897825536,0.0572289156626506,10,4.90142552190745,
ranked_0_enzyme_mimicB1-501EN164d,338,1661,0.0291643987147297,9.82840236686391,3,16,0.550191893904911,0.0291643987147297,0.0474777448071217,11,5.06457956560673,
ranked_0_enzyme_mimicB1-501EN233d,322,1630,0.0315396373909174,10.1242236024845,4,17,0.538168365552363,0.0315396373909173,0.0529595015576324,10,4.73390607766878,
ranked_0_enzyme_mimicB1-501EN290d,339,1697,0.0296207083136967,10.0117994100295,2,18,0.533033673962878,0.0296207083136967,0.0532544378698225,11,4.90651236668936,
ranked_0_enzyme_mimicB1-501EN286a,327,1583,0.0296992551734489,9.68195718654434,4,18,0.55589687590497,0.0296992551734489,0.0552147239263804,14,5.42473874786589,
ranked_0_enzyme_mimicB1-501EN345e,325,1455,0.0276353276353276,8.95384615384615,4,18,0.586066168622729,0.0276353276353276,0.0555555555555556,17,6.31356125356125,
ranked_0_enzyme_mimicB1-501EN290a,339,1719,0.0300047127821124,10.141592920354,2,17,0.528342391408502,0.0300047127821124,0.0502958579881657,11,4.8339878864045,
ranked_0_enzyme_mimicB1-501EN333c,327,1593,0.0298868689142793,9.74311926605505,2,17,0.55279986897634,0.0298868689142793,0.0521472392638037,14,5.58327235886756,
ranked_0_enzyme_mimicB1-501EN377d,330,1635,0.0301188173528599,9.90909090909091,2,17,0.544973917941833,0.0301188173528599,0.0516717325227964,11,4.92360688956434,
ranked_0_enzyme_mimicB1-501EN11d,342,1757,0.0301315360738111,10.2748538011696,2,18,0.537366287727485,0.0301315360738111,0.0527859237536657,11,4.78347138618785,
ranked_0_enzyme_mimicB1-501EN393e,335,1508,0.0269550451336134,9.00298507462687,2,16,0.558684822640047,0.0269550451336134,0.0479041916167665,13,5.76771829475378,
ranked_0_enzyme_mimicB1-501EN107b,332,1660,0.0302114803625378,10,2,17,0.532813074397057,0.0302114803625378,0.0513595166163142,11,4.99211953554399,
ranked_0_enzyme_mimicB1-501EN396e,330,1456,0.0268214055448098,8.82424242424242,3,15,0.567677339495521,0.0268214055448098,0.0455927051671732,15,6.01685548494059,
ranked_0_enzyme_mimicB1-501EN372c,349,1712,0.0281922076211178,9.810888252149,2,18,0.548413023012719,0.0281922076211178,0.0517241379310345,14,5.1924875671047,
ranked_0_enzyme_mimicB1-501EN349b,319,1595,0.0314465408805031,10,4,19,0.534771244905711,0.0314465408805031,0.059748427672956,10,4.76153861319769,
ranked_0_enzyme_mimicB1-501EN296c,326,1441,0.0272015101462954,8.84049079754601,2,16,0.580393473261571,0.0272015101462954,0.0492307692307692,27,8.41685700802265,
ranked_0_enzyme_mimicB1-501EN233a,322,1642,0.031771831040421,10.1987577639752,4,18,0.539437590177451,0.031771831040421,0.0560747663551402,10,4.79474081383874,
ranked_0_enzyme_mimicB1-501EN229b,327,1591,0.0298493461661132,9.7308868501529,2,19,0.550889296157282,0.0298493461661132,0.0582822085889571,12,4.91709348792706,
ranked_0_enzyme_mimicB1-501EN88c,328,1621,0.0302267472216007,9.88414634146342,2,19,0.536478002341572,0.0302267472216007,0.0581039755351682,13,4.91856865816365,
ranked_0_enzyme_mimicB1-501EN217a,335,1692,0.0302439896326749,10.1014925373134,4,16,0.529761937896266,0.0302439896326749,0.0479041916167665,11,4.93658057020288,
ranked_0_enzyme_mimicB1-501EN261c,332,1523,0.0277181232482801,9.17469879518072,2,17,0.556552249132866,0.0277181232482801,0.0513595166163142,17,6.06047755978597,
ranked_0_enzyme_mimicB1-501EN163a,318,1476,0.0292839711921909,9.28301886792453,2,15,0.579098696551527,0.0292839711921909,0.0473186119873817,20,6.76358550086304,
ranked_0_enzyme_mimicB1-501EN245d,325,1599,0.0303703703703704,9.84,2,17,0.536753286934282,0.0303703703703704,0.0524691358024691,12,4.90909781576448,
ranked_0_enzyme_mimicB1-501EN131b,323,1588,0.0305366998057804,9.8328173374613,2,17,0.550136002931487,0.0305366998057804,0.0527950310559006,15,4.98951983539411,
ranked_0_enzyme_mimicB1-501EN51a,323,1582,0.0304213218468165,9.79566563467492,4,17,0.537389085044339,0.0304213218468165,0.0527950310559006,12,5.24698575082207,
