graph_id,num_nodes,num_edges,density,avg_degree,min_degree,max_degree,avg_clustering,num_components,avg_degree_centrality,max_degree_centrality,diameter,avg_shortest_path
enzyme_mimicB1-501EN335b_B1-501-enzyme_mimicB1-501EN335b-ranked_0,333,1551,0.0280581786605883,9.315315315315315,2,18,0.5499126317753765,1,0.0280581786605883,0.05421686746987952,16,5.509135641665762
enzyme_mimicB1-501EN397d_B1-501-enzyme_mimicB1-501EN397d-ranked_0,340,1705,0.029585285441610272,10.029411764705882,2,20,0.5362888364190497,1,0.029585285441610272,0.058997050147492625,13,4.932205448551102
enzyme_mimicB1-501EN166c_B1-501-enzyme_mimicB1-501EN166c-ranked_0,318,1502,0.029799813503164494,9.446540880503145,2,16,0.554636785297162,1,0.029799813503164487,0.050473186119873815,15,5.4405491736602976
enzyme_mimicB1-501EN52e_B1-501-enzyme_mimicB1-501EN52e-ranked_0,328,1654,0.030842097411799805,10.085365853658537,2,19,0.5375021794500482,1,0.030842097411799805,0.0581039755351682,15,5.077067949578578
enzyme_mimicB1-501EN64e_B1-501-enzyme_mimicB1-501EN64e-ranked_0,339,1733,0.030249079262013232,10.224188790560472,4,18,0.5223536936967437,1,0.030249079262013232,0.05325443786982249,10,4.712904295613622
enzyme_mimicB1-501EN194c_B1-501-enzyme_mimicB1-501EN194c-ranked_0,321,1374,0.026752336448598132,8.560747663551401,3,16,0.5869943140971173,1,0.026752336448598132,0.05,17,6.478076323987539
enzyme_mimicB1-501EN331a_B1-501-enzyme_mimicB1-501EN331a-ranked_0,333,1428,0.025833061977640293,8.576576576576576,2,14,0.5832034332034327,1,0.025833061977640293,0.042168674698795185,21,6.73759904482796
enzyme_mimicB1-501EN70d_B1-501-enzyme_mimicB1-501EN70d-ranked_0,326,1636,0.030882491741387446,10.036809815950921,4,18,0.5509215217398176,1,0.03088249174138745,0.055384615384615386,11,4.961264747522416
enzyme_mimicB1-501EN308a_B1-501-enzyme_mimicB1-501EN308a-ranked_0,312,1568,0.03231923489158216,10.051282051282051,4,19,0.546814764794492,1,0.03231923489158216,0.06109324758842444,11,4.758924890757688
enzyme_mimicB1-501EN8c_B1-501-enzyme_mimicB1-501EN8c-ranked_0,333,1577,0.028528528528528527,9.471471471471471,2,15,0.5498552998553001,1,0.028528528528528527,0.045180722891566265,15,5.252740692499729
