graph_id,num_nodes,num_edges,density,avg_degree,min_degree,max_degree,avg_clustering,num_components,avg_degree_centrality,max_degree_centrality,diameter,avg_shortest_path
ranked_0_enzyme_mimicB1_502EN304c,324,1629,0.031131750945992433,10.055555555555555,2,20,0.5518250407726958,1,0.031131750945992437,0.061919504643962855,12,4.80264113442648
ranked_0_enzyme_mimicB1_502EN241c,328,1477,0.027541582755277093,9.00609756097561,2,17,0.5595303115703039,1,0.027541582755277096,0.05198776758409786,16,5.926698739464459
ranked_0_enzyme_mimicB1_502EN304b,323,1623,0.031209737899736554,10.04953560371517,2,19,0.5606393458505523,1,0.03120973789973655,0.05900621118012422,12,4.81381843355191
ranked_0_enzyme_mimicB1_502EN290d,328,1670,0.03114044901916909,10.182926829268293,4,18,0.5391029667168473,1,0.031140449019169094,0.05504587155963303,13,4.891437308868501
ranked_0_enzyme_mimicB1_502EN121d,329,1670,0.030951145377715174,10.151975683890578,2,19,0.5327310151514747,1,0.030951145377715178,0.057926829268292686,11,4.7531136481577585
ranked_0_enzyme_mimicB1_502EN121b,329,1626,0.03013566609830232,9.884498480243161,2,16,0.5273802438696047,1,0.03013566609830232,0.04878048780487805,16,5.024983319742012
ranked_0_enzyme_mimicB1_502EN227a,321,1505,0.029302959501557632,9.376947040498443,2,16,0.5613259533820277,1,0.02930295950155764,0.05,17,5.699513239875389
ranked_0_enzyme_mimicB1_502EN241a,328,1568,0.0292384575221899,9.560975609756097,3,18,0.5649089492525644,1,0.0292384575221899,0.05504587155963303,13,5.444059073618259
ranked_0_enzyme_mimicB1_502EN233a,329,1562,0.02894951441915635,9.495440729483283,2,19,0.5440054373185067,1,0.028949514419156358,0.057926829268292686,11,4.94325005560086
ranked_0_enzyme_mimicB1_502EN57e,313,1569,0.032133202260997785,10.02555910543131,3,19,0.5415358866288148,1,0.032133202260997785,0.060897435897435896,12,4.760772507577619
ranked_0_enzyme_mimicB1_502EN321b,322,1580,0.030572163851318668,9.813664596273291,2,18,0.5395230500226843,1,0.03057216385131866,0.056074766355140186,13,4.933457169946402
ranked_0_enzyme_mimicB1_502EN184a,327,1598,0.02998067578469447,9.773700305810397,2,18,0.5645537693702831,1,0.029980675784694467,0.05521472392638037,12,4.977204930489109
ranked_0_enzyme_mimicB1_502EN57c,313,1572,0.03219464241828459,10.044728434504792,3,19,0.5402556244315309,1,0.03219464241828459,0.060897435897435896,11,4.76806340624232
ranked_0_enzyme_mimicB1_502EN280a,336,1650,0.02931769722814499,9.821428571428571,4,17,0.5424500744353681,1,0.029317697228144993,0.05074626865671642,18,6.0779850746268655
ranked_0_enzyme_mimicB1_502EN157c,331,1646,0.030138240410143735,9.945619335347432,4,18,0.5388925441795529,1,0.030138240410143735,0.05454545454545454,11,4.826476242790442
ranked_0_enzyme_mimicB1_502EN71e,323,1596,0.030690537084398978,9.882352941176471,2,19,0.5325208430346982,1,0.030690537084398974,0.05900621118012422,11,4.86658462011807
ranked_0_enzyme_mimicB1_502EN217c,317,1543,0.030807011939464123,9.735015772870662,4,16,0.5523136169823869,1,0.03080701193946412,0.05063291139240506,12,4.993251607235555
ranked_0_enzyme_mimicB1_502EN362d,315,1557,0.03148316651501365,9.885714285714286,2,20,0.5458608090518748,1,0.03148316651501365,0.06369426751592357,11,4.921767263168537
ranked_0_enzyme_mimicB1_502EN157d,332,1591,0.028955701961926254,9.58433734939759,2,17,0.5545535528924966,1,0.028955701961926254,0.0513595166163142,16,5.191988497797838
ranked_0_enzyme_mimicB1_502EN57a,313,1588,0.03252232325714754,10.146964856230031,2,19,0.5418297959262751,1,0.03252232325714754,0.060897435897435896,11,4.717498156795282
ranked_0_enzyme_mimicB1_502EN141b,323,1611,0.03097898198180874,9.975232198142415,4,18,0.5467886167940802,1,0.030978981981808738,0.05590062111801242,10,4.8043382112570425
ranked_0_enzyme_mimicB1_502EN290c,328,1397,0.026049824718430672,8.518292682926829,4,16,0.5862553097309192,1,0.026049824718430675,0.04892966360856269,22,7.271798314313418
ranked_0_enzyme_mimicB1_502EN206c,327,1595,0.029924391662445357,9.755351681957187,4,17,0.545637924267174,1,0.029924391662445354,0.052147239263803685,11,4.978067953696929
ranked_0_enzyme_mimicB1_502EN217d,317,1586,0.03166553527931957,10.006309148264984,4,16,0.5395370752626268,1,0.031665535279319576,0.05063291139240506,10,4.774587709140278
ranked_0_enzyme_mimicB1_502EN290e,328,1407,0.026236294473036475,8.579268292682928,4,15,0.5959226579653406,1,0.02623629447303647,0.045871559633027525,23,7.543037219363019
ranked_0_enzyme_mimicB1_502EN222c,324,1575,0.030099759201926386,9.722222222222221,3,17,0.5417199071202338,1,0.030099759201926386,0.052631578947368425,12,4.987042770324504
ranked_0_enzyme_mimicB1_502EN58e,317,1552,0.030986702871061773,9.79179810725552,2,18,0.5460661341297817,1,0.030986702871061776,0.056962025316455694,12,4.975082857485126
ranked_0_enzyme_mimicB1_502EN233b,329,1448,0.02683668174067759,8.80243161094225,2,16,0.5669631364920114,1,0.026836681740677586,0.04878048780487805,19,6.387612128400919
ranked_0_enzyme_mimicB1_502EN280e,336,1728,0.03070362473347548,10.285714285714286,4,18,0.5446590155098556,1,0.03070362473347548,0.05373134328358209,12,5.187633262260128
ranked_0_enzyme_mimicB1_502EN290b,328,1415,0.026385470276721116,8.628048780487806,4,18,0.5738158203186894,1,0.02638547027672112,0.05504587155963303,20,6.91000969642724
ranked_0_enzyme_mimicB1_502EN280b,336,1690,0.030028429282160627,10.05952380952381,4,17,0.5443168409554963,1,0.030028429282160624,0.05074626865671642,12,5.290120824449183
ranked_0_enzyme_mimicB1_502EN57b,313,1584,0.0324404030474318,10.121405750798722,3,19,0.5376371152452024,1,0.0324404030474318,0.060897435897435896,11,4.714016547882363
ranked_0_enzyme_mimicB1_502EN217b,317,1574,0.0314259473705227,9.930599369085174,4,17,0.5402007211155467,1,0.0314259473705227,0.05379746835443038,10,4.79541189154654
ranked_0_enzyme_mimicB1_502EN58d,317,1555,0.03104659984826099,9.810725552050473,2,18,0.5480219498033558,1,0.03104659984826099,0.056962025316455694,13,4.876532364333347
ranked_0_enzyme_mimicB1_502EN241d,328,1672,0.031177742970090253,10.195121951219512,2,19,0.5487130866744148,1,0.031177742970090253,0.0581039755351682,13,4.882300290892817
ranked_0_enzyme_mimicB1_502EN121e,329,1633,0.03026540143820891,9.927051671732523,2,18,0.5397329675311079,1,0.030265401438208914,0.054878048780487805,13,4.971606494180444
ranked_0_enzyme_mimicB1_502EN184d,327,1544,0.028967561584210426,9.4434250764526,2,16,0.5512177849333806,1,0.028967561584210422,0.049079754601226995,12,5.026284685090336
ranked_0_enzyme_mimicB1_502EN227d,321,1563,0.030432242990654206,9.738317757009346,2,17,0.5508787356231001,1,0.030432242990654206,0.053125000000000006,14,5.494314641744548
ranked_0_enzyme_mimicB1_502EN206d,327,1599,0.02999943715877751,9.779816513761467,4,18,0.5409531949332268,1,0.029999437158777512,0.05521472392638037,10,4.874448884636311
ranked_0_enzyme_mimicB1_502EN304e,323,1622,0.031190508239909237,10.043343653250774,2,19,0.5562242679463196,1,0.031190508239909234,0.05900621118012422,12,4.762071418956599
ranked_0_enzyme_mimicB1_502EN206e,327,1645,0.03086246036659725,10.061162079510703,4,19,0.5342606424649768,1,0.03086246036659725,0.05828220858895706,11,4.829834337066846
ranked_0_enzyme_mimicB1_502EN141a,323,1651,0.03174816837490145,10.222910216718267,2,20,0.545955259168268,1,0.03174816837490144,0.06211180124223602,15,4.810472472741957
ranked_0_enzyme_mimicB1_502EN362c,316,1590,0.031946955997588906,10.063291139240507,2,19,0.5540788661095709,1,0.03194695599758891,0.06031746031746032,12,4.998051034759896
ranked_0_enzyme_mimicB1_502EN241b,328,1634,0.0304691579025882,9.963414634146341,2,18,0.5523531749814027,1,0.030469157902588202,0.05504587155963303,12,4.8736853882300295
ranked_0_enzyme_mimicB1_502EN227c,320,1534,0.03005485893416928,9.5875,2,17,0.5404516051758699,1,0.03005485893416928,0.05329153605015674,13,5.108581504702195
ranked_0_enzyme_mimicB1_502EN362a,315,1611,0.03257506824385805,10.228571428571428,2,19,0.5410365196256393,1,0.03257506824385805,0.06050955414012739,12,4.808856536245071
ranked_0_enzyme_mimicB1_502EN321e,322,1517,0.029353147191424313,9.422360248447205,2,16,0.5639753104038814,1,0.02935314719142431,0.04984423676012461,22,6.250575646756062
ranked_0_enzyme_mimicB1_502EN57d,313,1398,0.028631113295650035,8.93290734824281,2,17,0.5730135480840237,1,0.028631113295650032,0.05448717948717949,20,6.201114114852134
ranked_0_enzyme_mimicB1_502EN141d,323,1590,0.03057515912543507,9.845201238390093,2,18,0.5407838503995849,1,0.030575159125435066,0.05590062111801242,12,4.8074149568294136
ranked_0_enzyme_mimicB1_502EN227b,321,1636,0.03185358255451713,10.193146417445483,2,19,0.5516975655730322,1,0.03185358255451714,0.059375000000000004,11,4.894996105919003
ranked_0_enzyme_mimicB1_502EN241e,327,1530,0.028704902347047898,9.357798165137615,2,18,0.5470075091904558,1,0.02870490234704789,0.05521472392638037,14,5.525243428828728
ranked_0_enzyme_mimicB1_502EN233c,328,1617,0.030152159319758336,9.859756097560975,2,18,0.5455518089036738,1,0.030152159319758336,0.05504587155963303,14,5.101980308793913
ranked_0_enzyme_mimicB1_502EN233e,329,1594,0.029542590258729334,9.689969604863222,2,19,0.5455723327501484,1,0.029542590258729344,0.057926829268292686,12,5.0337497219957
ranked_0_enzyme_mimicB1_502EN141c,323,1669,0.03209430225179317,10.3343653250774,2,19,0.5369386376908256,1,0.03209430225179316,0.05900621118012422,11,4.610003269042171
ranked_0_enzyme_mimicB1_502EN217a,317,1598,0.03190512318811644,10.082018927444794,4,18,0.5403930629482675,1,0.03190512318811644,0.056962025316455694,11,4.790500339416204
ranked_0_enzyme_mimicB1_502EN222b,324,1499,0.02864732637694454,9.253086419753087,2,18,0.5648387640762363,1,0.028647326376944535,0.05572755417956657,21,6.162978251729542
ranked_0_enzyme_mimicB1_502EN58b,317,1506,0.03006828255400711,9.501577287066246,2,19,0.5408665784931767,1,0.030068282554007113,0.060126582278481014,13,5.142514874416005
ranked_0_enzyme_mimicB1_502EN304d,323,1636,0.03145972347749168,10.130030959752322,2,19,0.5533118498288772,1,0.03145972347749168,0.05900621118012422,12,4.747976078303175
ranked_0_enzyme_mimicB1_502EN206a,327,1545,0.028986322958293464,9.44954128440367,2,17,0.5515298856367392,1,0.02898632295829346,0.052147239263803685,23,6.05755989568676
ranked_0_enzyme_mimicB1_502EN58a,317,1455,0.029050033941620413,9.17981072555205,4,18,0.5565001528028061,1,0.029050033941620413,0.056962025316455694,15,6.161142834324961
ranked_0_enzyme_mimicB1_502EN362b,316,1539,0.030922242314647377,9.740506329113924,3,19,0.5718144767430534,1,0.03092224231464738,0.06031746031746032,14,5.628229857343781
ranked_0_enzyme_mimicB1_502EN222d,323,1423,0.02736380593427302,8.811145510835914,4,16,0.577892609626355,1,0.027363805934273025,0.049689440993788817,14,6.21227621483376
ranked_0_enzyme_mimicB1_502EN222a,324,1555,0.02971754003745748,9.598765432098766,2,17,0.5493843267399907,1,0.029717540037457475,0.052631578947368425,14,5.144555288002141
ranked_0_enzyme_mimicB1_502EN233d,329,1612,0.02987619541848914,9.799392097264437,2,19,0.5532944391000046,1,0.02987619541848914,0.057926829268292686,12,5.081751797761139
ranked_0_enzyme_mimicB1_502EN121a,329,1556,0.028838312699236413,9.458966565349543,2,17,0.5379901253761438,1,0.028838312699236417,0.05182926829268293,18,5.248739713840908
ranked_0_enzyme_mimicB1_502EN71c,323,1651,0.03174816837490145,10.222910216718267,3,19,0.532769615653809,1,0.03174816837490145,0.05900621118012422,11,4.794781070322866
ranked_0_enzyme_mimicB1_502EN206b,327,1388,0.026040787227256525,8.489296636085626,4,17,0.5522714673146402,1,0.026040787227256522,0.052147239263803685,22,6.872647792724339
ranked_0_enzyme_mimicB1_502EN71d,323,1610,0.030959752321981424,9.969040247678018,2,19,0.542419341184545,1,0.030959752321981424,0.05900621118012422,10,4.821760283060593
ranked_0_enzyme_mimicB1_502EN304a,323,1627,0.031286656539045825,10.074303405572756,2,19,0.5482244869462223,1,0.031286656539045825,0.05900621118012422,11,4.725996577120551
ranked_0_enzyme_mimicB1_502EN184c,327,1573,0.029511641432618526,9.62079510703364,2,19,0.5533788573929738,1,0.029511641432618526,0.05828220858895706,13,5.149434344571397
ranked_0_enzyme_mimicB1_502EN184b,328,1562,0.02912657566942642,9.524390243902438,2,19,0.5571258423347732,1,0.029126575669426415,0.0581039755351682,13,5.297941373909152
ranked_0_enzyme_mimicB1_502EN157a,331,1633,0.029900210564863132,9.867069486404834,4,17,0.5459075327255526,1,0.029900210564863132,0.051515151515151514,11,4.942488327382587
